iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
4,locals_vs_diaspora,3,124,261,15,15,K-Fold,5,SVM,TFIDF_profile_text+numeric_metadata,504,False,0.7925,0.5161,0.5163,0.5145,
4,locals_vs_diaspora,3,124,261,15,15,LOOCV,,SVM,TFIDF_profile_text+numeric_metadata,504,False,0.7975,0.5216,0.5245,0.5222,
4,locals_vs_diaspora,3,124,261,15,15,K-Fold,5,AdaBoost,TFIDF_profile_text+numeric_metadata,504,False,0.735,0.4755,0.4601,0.4611,0.6175
4,locals_vs_diaspora,3,124,261,15,15,LOOCV,,AdaBoost,TFIDF_profile_text+numeric_metadata,504,False,0.7675,0.5007,0.4866,0.4875,0.581
4,locals_vs_diaspora,3,124,261,15,15,K-Fold,5,XGBoost,TFIDF_profile_text+numeric_metadata,504,False,0.76,0.4929,0.4913,0.4902,0.7598
4,locals_vs_diaspora,3,124,261,15,15,LOOCV,,XGBoost,TFIDF_profile_text+numeric_metadata,504,False,0.765,0.4923,0.498,0.4941,0.7484
4,locals_vs_diaspora,3,124,261,15,15,K-Fold,5,LogReg,TFIDF_profile_text+numeric_metadata,504,True,0.7325,0.5201,0.5109,0.5127,0.6848
4,locals_vs_diaspora,3,124,261,15,15,LOOCV,,LogReg,TFIDF_profile_text+numeric_metadata,504,True,0.735,0.5346,0.5345,0.5282,0.7072
4,locals_vs_diaspora,3,124,261,15,15,K-Fold,5,Decision Tree,TFIDF_profile_text+numeric_metadata,504,True,0.68,0.4635,0.46,0.4612,0.6215
4,locals_vs_diaspora,3,124,261,15,15,LOOCV,,Decision Tree,TFIDF_profile_text+numeric_metadata,504,True,0.665,0.4376,0.4357,0.4365,0.608
4,locals_vs_diaspora,3,124,261,15,15,K-Fold,5,Random Forest,TFIDF_profile_text+numeric_metadata,504,True,0.805,0.5374,0.5157,0.5195,0.7681
4,locals_vs_diaspora,3,124,261,15,15,LOOCV,,Random Forest,TFIDF_profile_text+numeric_metadata,504,True,0.7975,0.5236,0.5132,0.5142,0.7625
4,locals_vs_diaspora,3,124,261,15,15,K-Fold,5,SVM,TFIDF_profile_text+numeric_metadata,504,True,0.7725,0.5139,0.5019,0.5066,
4,locals_vs_diaspora,3,124,261,15,15,LOOCV,,SVM,TFIDF_profile_text+numeric_metadata,504,True,0.78,0.5415,0.5337,0.5372,
4,locals_vs_diaspora,3,124,261,15,15,K-Fold,5,AdaBoost,TFIDF_profile_text+numeric_metadata,504,True,0.6825,0.467,0.4376,0.4507,0.604
4,locals_vs_diaspora,3,124,261,15,15,LOOCV,,AdaBoost,TFIDF_profile_text+numeric_metadata,504,True,0.7075,0.4958,0.4531,0.4712,0.5821
4,locals_vs_diaspora,3,124,261,15,15,K-Fold,5,XGBoost,TFIDF_profile_text+numeric_metadata,504,True,0.745,0.479,0.4892,0.4839,0.7517
4,locals_vs_diaspora,3,124,261,15,15,LOOCV,,XGBoost,TFIDF_profile_text+numeric_metadata,504,True,0.745,0.4775,0.485,0.4807,0.7448
4,locals_vs_diaspora,2,124,261,0,124,K-Fold,5,LogReg,TFIDF_profile_text,500,False,0.7948,0.811,0.7047,0.725,0.8925
4,locals_vs_diaspora,2,124,261,0,124,LOOCV,,LogReg,TFIDF_profile_text,500,False,0.8234,0.8443,0.7449,0.7688,0.8964
4,locals_vs_diaspora,2,124,261,0,124,K-Fold,5,Decision Tree,TFIDF_profile_text,500,False,0.7766,0.7464,0.7252,0.7334,0.7533
4,locals_vs_diaspora,2,124,261,0,124,LOOCV,,Decision Tree,TFIDF_profile_text,500,False,0.761,0.7277,0.7031,0.7119,0.7187
4,locals_vs_diaspora,2,124,261,0,124,K-Fold,5,Random Forest,TFIDF_profile_text,500,False,0.8104,0.7981,0.7501,0.7658,0.8721
4,locals_vs_diaspora,2,124,261,0,124,LOOCV,,Random Forest,TFIDF_profile_text,500,False,0.8208,0.8052,0.7705,0.7834,0.8808
4,locals_vs_diaspora,2,124,261,0,124,K-Fold,5,SVM,TFIDF_profile_text,500,False,0.8182,0.7997,0.7707,0.7819,0.8707
4,locals_vs_diaspora,2,124,261,0,124,LOOCV,,SVM,TFIDF_profile_text,500,False,0.826,0.8089,0.7806,0.7918,0.8825
4,locals_vs_diaspora,2,124,261,0,124,K-Fold,5,AdaBoost,TFIDF_profile_text,500,False,0.7792,0.7956,0.6805,0.6976,0.8168
4,locals_vs_diaspora,2,124,261,0,124,LOOCV,,AdaBoost,TFIDF_profile_text,500,False,0.7714,0.7754,0.6748,0.6904,0.8387
4,locals_vs_diaspora,2,124,261,0,124,K-Fold,5,XGBoost,TFIDF_profile_text,500,False,0.7948,0.7753,0.7344,0.7479,0.8069
4,locals_vs_diaspora,2,124,261,0,124,LOOCV,,XGBoost,TFIDF_profile_text,500,False,0.813,0.8046,0.7499,0.767,0.8003
4,locals_vs_diaspora,2,124,261,0,124,K-Fold,5,LogReg,TFIDF_profile_text,500,True,0.8208,0.7939,0.8022,0.7977,0.8922
4,locals_vs_diaspora,2,124,261,0,124,LOOCV,,LogReg,TFIDF_profile_text,500,True,0.839,0.8141,0.8241,0.8186,0.8981
4,locals_vs_diaspora,2,124,261,0,124,K-Fold,5,Decision Tree,TFIDF_profile_text,500,True,0.774,0.7421,0.7275,0.7336,0.76
4,locals_vs_diaspora,2,124,261,0,124,LOOCV,,Decision Tree,TFIDF_profile_text,500,True,0.787,0.7595,0.7371,0.7458,0.7746
4,locals_vs_diaspora,2,124,261,0,124,K-Fold,5,Random Forest,TFIDF_profile_text,500,True,0.8286,0.8218,0.772,0.7888,0.8809
4,locals_vs_diaspora,2,124,261,0,124,LOOCV,,Random Forest,TFIDF_profile_text,500,True,0.826,0.8076,0.7828,0.7928,0.8869
4,locals_vs_diaspora,2,124,261,0,124,K-Fold,5,SVM,TFIDF_profile_text,500,True,0.8208,0.7966,0.7874,0.7916,0.8695
4,locals_vs_diaspora,2,124,261,0,124,LOOCV,,SVM,TFIDF_profile_text,500,True,0.839,0.8169,0.8114,0.814,0.8833
4,locals_vs_diaspora,2,124,261,0,124,K-Fold,5,AdaBoost,TFIDF_profile_text,500,True,0.8156,0.7947,0.7709,0.7805,0.8247
4,locals_vs_diaspora,2,124,261,0,124,LOOCV,,AdaBoost,TFIDF_profile_text,500,True,0.8156,0.7971,0.7666,0.7782,0.8092
4,locals_vs_diaspora,2,124,261,0,124,K-Fold,5,XGBoost,TFIDF_profile_text,500,True,0.8104,0.7893,0.7628,0.7731,0.8045
4,locals_vs_diaspora,2,124,261,0,124,LOOCV,,XGBoost,TFIDF_profile_text,500,True,0.8234,0.8077,0.7745,0.7871,0.8008
